Parent,Region,Organization,County,Mission/Goals,,Website,Contact Person,Email,Phone,xpos,ypos
Regional Works Council,4,Region 4 Works Council (White),White,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region4/index.htm,Not Readily Available,Not Readily Available,Not Readily Available,337.6866538,649.6926186
Regional Works Council,4,Region 4 Works Council (Cass),Cass,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region4/index.htm,Not Readily Available,Not Readily Available,Not Readily Available,240.8256944,734.0892739
Regional Works Council,4,Region 4 Works Council (Miami),Miami,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region4/index.htm,Not Readily Available,Not Readily Available,Not Readily Available,333.7857656,731.9803287
Regional Works Council,4,Region 4 Works Council (Warren),Warren,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region4/index.htm,Not Readily Available,Not Readily Available,Not Readily Available,242.0746038,654.0546971
Regional Works Council,4,Region 4 Works Council (Tippecanoe),Tippecanoe,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region4/index.htm,Not Readily Available,Not Readily Available,Not Readily Available,214.4475477,782.395401
Regional Works Council,4,Region 4 Works Council (Carroll),Carroll,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region4/index.htm,Not Readily Available,Not Readily Available,Not Readily Available,250.4143678,688.660883
Regional Works Council,4,Region 4 Works Council (Howard),Howard,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region4/index.htm,Not Readily Available,Not Readily Available,Not Readily Available,290.4789588,821.1721156
Regional Works Council,4,Region 4 Works Council (Fountain),Fountain,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region4/index.htm,Not Readily Available,Not Readily Available,Not Readily Available,251.1542132,888.9438335
Regional Works Council,4,Region 4 Works Council (Montgomery),Montgomery,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region4/index.htm,Not Readily Available,Not Readily Available,Not Readily Available,212.9946979,849.7015738
Regional Works Council,4,Region 4 Works Council (Clinton),Clinton,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region4/index.htm,Not Readily Available,Not Readily Available,Not Readily Available,190.0189855,817.8323511
Regional Works Council,4,Region 4 Works Council (Tipton),Tipton,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region4/index.htm,Not Readily Available,Not Readily Available,Not Readily Available,341.3595913,691.4901658
Workforce Investment Board,4,West Central Region 4 Workforce Board (Benton),Benton,Not Readily Available,,http://www.region4workforceboard.org/,Not Readily Available,Not Readily Available,Not Readily Available,1155.157727,468.1982327
Workforce Investment Board,4,West Central Region 4 Workforce Board (White),White,Not Readily Available,,http://www.region4workforceboard.org/,Not Readily Available,Not Readily Available,Not Readily Available,1284.673374,462.1659731
Workforce Investment Board,4,West Central Region 4 Workforce Board (Cass),Cass,Not Readily Available,,http://www.region4workforceboard.org/,Not Readily Available,Not Readily Available,Not Readily Available,1173.699419,510.0267837
Workforce Investment Board,4,West Central Region 4 Workforce Board (Miami),Miami,Not Readily Available,,http://www.region4workforceboard.org/,Not Readily Available,Not Readily Available,Not Readily Available,1214.662689,591.0663011
Workforce Investment Board,4,West Central Region 4 Workforce Board (Warren),Warren,Not Readily Available,,http://www.region4workforceboard.org/,Not Readily Available,Not Readily Available,Not Readily Available,1293.510277,502.900226
Workforce Investment Board,4,West Central Region 4 Workforce Board (Tippecanoe),Tippecanoe,Not Readily Available,,http://www.region4workforceboard.org/,Not Readily Available,Not Readily Available,Not Readily Available,1062.542211,531.0626421
Workforce Investment Board,4,West Central Region 4 Workforce Board (Carroll),Carroll,Not Readily Available,,http://www.region4workforceboard.org/,Not Readily Available,Not Readily Available,Not Readily Available,1078.861919,491.4845049
Workforce Investment Board,4,West Central Region 4 Workforce Board (Howard),Howard,Not Readily Available,,http://www.region4workforceboard.org/,Not Readily Available,Not Readily Available,Not Readily Available,1161.827055,552.5553312
Workforce Investment Board,4,West Central Region 4 Workforce Board (Fountain),Fountain,Not Readily Available,,http://www.region4workforceboard.org/,Not Readily Available,Not Readily Available,Not Readily Available,1271.456826,543.2450249
Workforce Investment Board,4,West Central Region 4 Workforce Board (Montgomery),Montgomery,Not Readily Available,,http://www.region4workforceboard.org/,Not Readily Available,Not Readily Available,Not Readily Available,1302.808068,421.0532375
Workforce Investment Board,4,West Central Region 4 Workforce Board (Clinton),Clinton,Not Readily Available,,http://www.region4workforceboard.org/,Not Readily Available,Not Readily Available,Not Readily Available,1169.529006,430.6653609
Workforce Investment Board,4,West Central Region 4 Workforce Board (Tipton),Tipton,Not Readily Available,,http://www.region4workforceboard.org/,Not Readily Available,Not Readily Available,Not Readily Available,1317.374435,589.204277
Community Foundation,4,Cass County Community Foundation,Cass,Not Readily Available,,http://casscountycf.org/pages/home/1,Deanna Crispen,cccf@casscountycf.org,574-722-2200,469.3781725,62.93475383
Community Foundation,4,The Clinton County Community Foundation,Clinton,The mission of the Clinton County Community Foundation is to improve the quality of life in the community through the accumulation and stewardship of enduring charitable gifts,,http://www.cfclinton.org/index.html,Kim Abney,kim@cfclinton.org,765-454-7298,553.9872926,71.5828165
Community Foundation,4,The Community Foundation of Greater Lafayette,Tippecanoe,"The mission of The Community Foundation of Greater Lafayette is to inspire, nurture and practice philanthropy, stewardship and leadership in the communities we serve",,http://www.cfglaf.org/,Not Readily Available,info@cfglaf.org,765-742-9078,615.9453641,145.1095488
Community Foundation,4,The Community Foundation Of Howard County Inc,Howard,The mission of the Community Foundation of Howard County is to improve the quality of life in the community through the accumulation and stewardship of enduring charitable gifts.,,http://www.cfhoward.org/,Hilda Burns,hilda@cfhoward.org,765-454-7298,526.473769,107.1094993
Community Foundation,4,Montgomery County Community Foundation,Montgomery,The Montgomery County Community Foundation (MCCF) builds bridges to support the future of Montgomery County.,,http://www.mccf-in.org/,"Ann Malott, Executive Director",ann@mccf-in.org,765-362-1267,571.3134183,14.43573436
Community Foundation,4,Tipton County Foundation Inc.,Tipton,"Through philanthropic donor services, strategic grantmaking, and constructive leadership, the Tipton County Foundation, your hometown community foundation, unites the gifts of many to sustain the causes that matter to all? now, and for all generations to come.",,http://tiptoncf.org/,Not Readily Available,tcf@tiptontel.com,765-675-8480,535.7561685,149.5718806
Community Foundation,4,Warren County Community Foundation Inc.,Warren,"The mission of the Warren County Community Foundation is to unite friends of Warren County in serving donors, awarding grants, and providing leadership to create lasting legacies.",,http://www.warrencountyfoundation.com/index.html,"Carol Clark, Executive Director",warrencountyfoundation@yahoo.com,765-764-1501,408.2064087,13.25502963
Regional School Age Program,4,Lafayette Afterschool Coalition,Tippecanoe,"IAN engages cities and regions in creating coordinated systems to expand out-of-school time learning for K-12 youth in Indiana. These community coalitions connect youth programs, schools and universities, faith based groups, and civic and businesses. IAN uses coalition-building frameworks developed by the Columbus Education Coalition / Institute for Coalition Building and the Wallace Foundation.",,http://www.indianaafterschool.org/state/regional-coalitions/,,,,111.9924229,43.33490856
Regional Works Council,5,Region 5 Works Council (Boone),Boone,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region5/index.htm,Not Readily Available,Not Readily Available,Not Readily Available,246.9295352,1171.964992
Regional Works Council,5,Region 5 Works Council (Hamilton),Hamilton,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region5/index.htm,Not Readily Available,Not Readily Available,Not Readily Available,192.6667154,1104.246211
Regional Works Council,5,Region 5 Works Council (Madison),Madison,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region5/index.htm,Not Readily Available,Not Readily Available,Not Readily Available,308.5372411,1143.730134
Regional Works Council,5,Region 5 Works Council (Hendricks),Hendricks,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region5/index.htm,Not Readily Available,Not Readily Available,Not Readily Available,258.2409467,1072.349253
Regional Works Council,12,Region 12 Works Council (Marion),Marion,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region5/index.htm,Not Readily Available,Not Readily Available,Not Readily Available,66.36006723,1024.287702
Regional Works Council,5,Region 5 Works Council (Hancock),Hancock,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region5/index.htm,Not Readily Available,Not Readily Available,Not Readily Available,209.6359629,1134.263192
Regional Works Council,5,Region 5 Works Council (Morgan),Morgan,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region5/index.htm,Not Readily Available,Not Readily Available,Not Readily Available,337.8152964,1186.892847
Regional Works Council,5,Region 5 Works Council (Johnson),Johnson,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region5/index.htm,Not Readily Available,Not Readily Available,Not Readily Available,245.2383905,1209.705589
Regional Works Council,5,Region 5 Works Council (Shelby),Shelby,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region5/index.htm,Not Readily Available,Not Readily Available,Not Readily Available,279.2201695,1105.600538
Workforce Investment Board,5,Central Indiana Regional Workforce Board (Boone),Boone,Not Readily Available,,http://www.workonecentral.org/workforceboard.html,Not Readily Available,Not Readily Available,Not Readily Available,1020.670419,605.3666108
Workforce Investment Board,5,Central Indiana Regional Workforce Board (Hamilton),Hamilton,Not Readily Available,,http://www.workonecentral.org/workforceboard.html,Not Readily Available,Not Readily Available,Not Readily Available,922.1667878,597.7722061
Workforce Investment Board,5,Central Indiana Regional Workforce Board (Madison),Madison,Not Readily Available,,http://www.workonecentral.org/workforceboard.html,Not Readily Available,Not Readily Available,Not Readily Available,969.6332176,559.1968892
Workforce Investment Board,5,Central Indiana Regional Workforce Board (Hendricks),Hendricks,Not Readily Available,,http://www.workonecentral.org/workforceboard.html,Not Readily Available,Not Readily Available,Not Readily Available,1248.03307,634.0153195
Workforce Investment Board,12,Central Indiana Regional Workforce Board (Marion),Marion,Not Readily Available,,http://www.workonecentral.org/workforceboard.html,Not Readily Available,Not Readily Available,Not Readily Available,1416.052168,608.7190923
Workforce Investment Board,5,Central Indiana Regional Workforce Board (Hancock),Hancock,Not Readily Available,,http://www.workonecentral.org/workforceboard.html,Not Readily Available,Not Readily Available,Not Readily Available,1141.527228,646.8581695
Workforce Investment Board,5,Central Indiana Regional Workforce Board (Morgan),Morgan,Not Readily Available,,http://www.workonecentral.org/workforceboard.html,Not Readily Available,Not Readily Available,Not Readily Available,1125.90648,604.8694741
Workforce Investment Board,5,Central Indiana Regional Workforce Board (Johnson),Johnson,Not Readily Available,,http://www.workonecentral.org/workforceboard.html,Not Readily Available,Not Readily Available,Not Readily Available,933.4833654,637.5863125
Workforce Investment Board,5,Central Indiana Regional Workforce Board (Shelby),Shelby,Not Readily Available,,http://www.workonecentral.org/workforceboard.html,Not Readily Available,Not Readily Available,Not Readily Available,1039.216019,646.7552916
Workforce Investment Board,12,Employ Indy,Marion,"EmployIndy is Marion County?s local workforce investment board providing expertise, identifying tools and prioritizing resources to develop, create or find the best talent needed to power the Marion County economy.",,https://www.employindy.org/OneFlow/eihome.aspx,Brian Van Bokkenlen,bvanbokkelen@employindy.org,317-684-2282,1347.503143,638.6533263
Community Foundation,5,The Blue River Community Foundation Inc.,Shelby,Our Vision is to encourage philanthropy and inspire action that improves all lives and builds stronger communities in Shelby County.,,http://blueriverfoundation.com/,Lynne Ensminger,lensminger@blueriverfoundation.com,317-392-7955,686.8587774,202.3226481
Community Foundation,5,Central Indiana Community Foundation (Hamilton),Hamilton," We award grants to not-for-profits doing good work in our community. We help donors change the world through highly effective charitable giving. We provide leadership, finding new ways to make Central Indiana a better place.",,https://www.cicf.org/,Not Readily Available,info@cicf.org,317-634-2423,636.1702145,235.611738
Community Foundation,12,Central Indiana Community Foundation (Marion),Marion," We award grants to not-for-profits doing good work in our community. We help donors change the world through highly effective charitable giving. We provide leadership, finding new ways to make Central Indiana a better place.",,https://www.cicf.org/,Not Readily Available,info@cicf.org,317-634-2423,193.5792607,407.3062029
Community Foundation,5,The Community Foundation of Boone County,Boone,"Engageÿthe community and educate citizens on how they can make a difference here at home.  Invest in people, programs and organizations that transform lives and communities. Lead a vision for collaborative solutions to address the root causes of challenges facing our community. Forever. The establishment and growth of permanent endowment funds will strengthen Boone County for generations to come",,http://www.communityfoundationbc.org/,Nancy Turner,info@communityfoundationbc.org,317-873-0210,645.6935029,34.69141487
Community Foundation,5,Community Foundation of Madison and Jefferson County Inc (Madison),Madison,Not Readily Available,,https://cfmjc.org/,Not Readily Available,info@cfmdin.org,765-747-7181,720.8824377,59.16448356
Community Foundation,9,Community Foundation of Madison and Jefferson County Inc (Jefferson),Jefferson,Not Readily Available,,https://cfmjc.org/,Not Readily Available,info@cfmdin.org,765-747-7181,473.2974569,362.8602596
Community Foundation,5,Community Foundation of Morgan County,Morgan,"The Community Foundation of Morgan County, Inc., works with our citizens to enhance the quality of life for current and future generations of Morgan County, Indiana. We accept gifts, manage financial resources, make grants, and provide scholarships.ÿ",,http://cfmconline.org/Home.aspx,"Tom Zoss, Executive Director",tzoss@cfmconline.org,317-831-1232,554.3546726,212.8785022
Community Foundation,5,Hancock County Community Foundation Inc.,Hancock,Not Readily Available,,http://givehcgrowhc.org/,"Alyse Vail, Program Officer",avail@hccf.cc,317-462-8870 x 226,651.4819311,105.9127335
Community Foundation,5,Hendricks County Community Foundation,Hendricks,"The Hendricks County Community Foundation improves the quality of life in Hendricks County by: Helping donors match their passions with community needs,  Awarding grants to nonprofit organizations and projects; and Collaborating to address community issue",,http://www.hendrickscountycf.org/,Susan Rozzi,susan@hendrickscountycf.org,317-268-6240,737.9115248,122.8840863
Community Foundation,12,The Indianapolis Foundation,Marion,Not Readily Available,,https://www.cicf.org/,Not Readily Available,info@cicf.org,317-634-2423,163.2946567,374.91222
Community Foundation,5,Johnson County Community Foundation Inc.,Johnson,Not Readily Available,,http://www.jccf.org/,"Kim Minton, Director of Grants and Scholarships",kimm@jccf.org,317-738-2213,721.8088121,21.71462176
Community Foundation,5,Madison County Community Foundation,Madison,"The Foundation exists ""to enhance the quality of life of the citizens of Madison County by attracting charitable gifts, making philanthropic grants, providing financial stewardship and community leadership.""",,http://www.madisonccf.org/,"Sally DeVoe, Executive Director",info@madisonccf.org,765-644-0002,630.394448,182.7491795
Community Foundation,5,South Madison Community Foundation,Madison,Our mission is to produce positive and sustainable change in the communities we serve.,,http://southmadisonfoundation.org/,Tammy Bowman,tammy@southmadisonfoundation.org,765-788-8444,713.4336783,165.8009482
Regional Planning Initiative,5,Metropolitan Indianapolis/Central Indiana Area Health Education Center (Boone),Boone,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://mici-ahec.uindy.edu/,Kimberly McElroy-Jones,,,845.7602096,1352.172988
Regional Planning Initiative,5,Metropolitan Indianapolis/Central Indiana Area Health Education Center (Hamilton),Hamilton,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://mici-ahec.uindy.edu/,Kimberly McElroy-Jones,,,1076.007875,1302.865301
Regional Planning Initiative,5,Metropolitan Indianapolis/Central Indiana Area Health Education Center (Hancock),Hancock,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://mici-ahec.uindy.edu/,Kimberly McElroy-Jones,,,944.0164234,1349.315346
Regional Planning Initiative,5,Metropolitan Indianapolis/Central Indiana Area Health Education Center (Hendricks),Hendricks,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://mici-ahec.uindy.edu/,Kimberly McElroy-Jones,,,1118.722549,1248.099771
Regional Planning Initiative,5,Metropolitan Indianapolis/Central Indiana Area Health Education Center (Johnson),Johnson,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://mici-ahec.uindy.edu/,Kimberly McElroy-Jones,,,1024.329396,1242.405715
Regional Planning Initiative,5,Metropolitan Indianapolis/Central Indiana Area Health Education Center (Madison),Madison,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://mici-ahec.uindy.edu/,Kimberly McElroy-Jones,,,961.2286951,1284.483932
Regional Planning Initiative,12,Metropolitan Indianapolis/Central Indiana Area Health Education Center (Marion),Marion,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://mici-ahec.uindy.edu/,Kimberly McElroy-Jones,,,537.802601,1410.378529
Regional Planning Initiative,5,Metropolitan Indianapolis/Central Indiana Area Health Education Center (Morgan),Morgan,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://mici-ahec.uindy.edu/,Kimberly McElroy-Jones,,,907.4562871,1422.274287
Regional Planning Initiative,5,Metropolitan Indianapolis/Central Indiana Area Health Education Center (Shelby),Shelby,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://mici-ahec.uindy.edu/,Kimberly McElroy-Jones,,,795.727807,1409.903002
Regional School Age Program,5,Greater Martinsville Afterschool Coalition,Morgan,"IAN engages cities and regions in creating coordinated systems to expand out-of-school time learning for K-12 youth in Indiana. These community coalitions connect youth programs, schools and universities, faith based groups, and civic and businesses. IAN uses coalition-building frameworks developed by the Columbus Education Coalition / Institute for Coalition Building and the Wallace Foundation.",,http://www.indianaafterschool.org/state/regional-coalitions/,,,,193.5333623,20.12508894
Regional School Age Program,5,Northside Coalition on Out-of-School Learning (Hamilton),Boone,"IAN engages cities and regions in creating coordinated systems to expand out-of-school time learning for K-12 youth in Indiana. These community coalitions connect youth programs, schools and universities, faith based groups, and civic and businesses. IAN uses coalition-building frameworks developed by the Columbus Education Coalition / Institute for Coalition Building and the Wallace Foundation.",,http://www.indianaafterschool.org/state/regional-coalitions/,,,,177.8538587,93.71583532
Regional School Age Program,5,Northside Coalition on Out-of-School Learning (Boone),Hamilton,"IAN engages cities and regions in creating coordinated systems to expand out-of-school time learning for K-12 youth in Indiana. These community coalitions connect youth programs, schools and universities, faith based groups, and civic and businesses. IAN uses coalition-building frameworks developed by the Columbus Education Coalition / Institute for Coalition Building and the Wallace Foundation.",,http://www.indianaafterschool.org/state/regional-coalitions/,,,,192.6185432,48.65601379
Regional Works Council,6,Region 6 Works Council (Blackford),Blackford,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region6/index.htm,Not Readily Available,Not Readily Available,Not Readily Available,425.7840404,1338.84624
Regional Works Council,6,Region 6 Works Council (Jay),Jay,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region6/index.htm,Not Readily Available,Not Readily Available,Not Readily Available,420.6383034,1416.486692
Regional Works Council,6,Region 6 Works Council (Delaware),Delaware,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region6/index.htm,Not Readily Available,Not Readily Available,Not Readily Available,347.1189643,1237.240916
Regional Works Council,6,Region 6 Works Council (Randolph),Randolph,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region6/index.htm,Not Readily Available,Not Readily Available,Not Readily Available,427.7979862,1263.889997
Regional Works Council,6,Region 6 Works Council (Henry),Henry,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region6/index.htm,Not Readily Available,Not Readily Available,Not Readily Available,343.3129822,1276.287198
Regional Works Council,6,Region 6 Works Council (Wayne),Wayne,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region6/index.htm,Not Readily Available,Not Readily Available,Not Readily Available,338.7365685,1333.427304
Regional Works Council,6,Region 6 Works Council (Rush),Rush,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region6/index.htm,Not Readily Available,Not Readily Available,Not Readily Available,334.754084,1412.556774
Regional Works Council,6,Region 6 Works Council (Fayette),Fayette,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region6/index.htm,Not Readily Available,Not Readily Available,Not Readily Available,385.1013562,1372.991811
Regional Works Council,6,Region 6 Works Council (Union),Union,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region6/index.htm,Not Readily Available,Not Readily Available,Not Readily Available,420.1602681,1298.53474
Workforce Investment Board,6,Eastern Indiana Economic Growth Region (Blackford),Blackford,Not Readily Available,,http://www.asgcorp.org/,Mike Row,mrow@asgcorp.org,765-282-6400 ext 105,1234.865467,19.13748659
Workforce Investment Board,6,Eastern Indiana Economic Growth Region (Jay),Jay,Not Readily Available,,http://www.asgcorp.org/,Mike Row,mrow@asgcorp.org,765-282-6400 ext 105,1324.696767,21.41457694
Workforce Investment Board,6,Eastern Indiana Economic Growth Region (Delaware),Delaware,Not Readily Available,,http://www.asgcorp.org/,Mike Row,mrow@asgcorp.org,765-282-6400 ext 105,1324.700222,61.50782059
Workforce Investment Board,6,Eastern Indiana Economic Growth Region (Randolph),Randolph,Not Readily Available,,http://www.asgcorp.org/,Mike Row,mrow@asgcorp.org,765-282-6400 ext 105,1218.301333,97.2834683
Workforce Investment Board,6,Eastern Indiana Economic Growth Region (Henry),Henry,Not Readily Available,,http://www.asgcorp.org/,Mike Row,mrow@asgcorp.org,765-282-6400 ext 105,1135.890119,67.02074825
Workforce Investment Board,6,Eastern Indiana Economic Growth Region (Wayne),Wayne,Not Readily Available,,http://www.asgcorp.org/,Mike Row,mrow@asgcorp.org,765-282-6400 ext 105,1040.826975,68.74216231
Workforce Investment Board,6,Eastern Indiana Economic Growth Region (Rush),Rush,Not Readily Available,,http://www.asgcorp.org/,Mike Row,mrow@asgcorp.org,765-282-6400 ext 105,1148.521853,19.26671187
Workforce Investment Board,6,Eastern Indiana Economic Growth Region (Fayette),Fayette,Not Readily Available,,http://www.asgcorp.org/,Mike Row,mrow@asgcorp.org,765-282-6400 ext 105,1228.428664,58.10462489
Workforce Investment Board,6,Eastern Indiana Economic Growth Region (Union),Union,Not Readily Available,,http://www.asgcorp.org/,Mike Row,mrow@asgcorp.org,765-282-6400 ext 105,1012.748461,25.41837995
Community Foundation,6,The Community Foundation of Muncie & Deleware County Inc.,Delaware,"The mission of The Community Foundation of Muncie & Delaware County, Inc. is to encourage philanthropy, assist donors in building an enduring source of charitable assets and exercise leadership in directing resources to enhance the quality of life of the residents of Muncie and Delaware County, Indiana",,http://www.cfmdin.org/,Not Readily Available,info@cfmdin.org,765-747-7181,663.9999588,478.4632609
Community Foundation,6,Community Foundation of Randolph County Inc.,Randolph,"The Community Foundation of Randolph County, Inc. seeks to bring people and resources together to enrich the lives of Randolph County residents.",,http://randolphcountyfoundation.org/,"Ruth Mills, Executive Director",rmills@randolphcountyfoundation.org,765-584-9077,713.8397778,644.2993127
Community Foundation,6,Fayette County Foundation,Fayette,Not Readily Available,,http://www.fayettefoundation.com/,Not Readily Available,info@fayettefoundation.com,765-827-9966,609.4996361,642.8439078
Community Foundation,6,Henry County Community Foundation Inc. ,Henry,"It is to help where the needs are the greatest and the benefits to the community and its citizens are most substantial, and
to provide public spirited donors a vehicle for using their gifts in the best possible way now and in the future as conditions inevitably change, and to provide excellent stewardship of those gifts which it receives.",,http://www.henrycountycf.org/,"Jerry Schaeffer, Executive Director",jerry@henrycountycf.org,765-529-2235,652.7403931,387.4131239
Community Foundation,6,Portland Foundation,Jay,Not Readily Available,,http://www.portlandfoundation.org/,"Douglas L. Inman, Executive Director",tpf@portlandfoundation.org,260-726-4260,657.5346849,443.2298412
Community Foundation,6,Rush County Community Foundation,Rush,"The foundation of Rush county's future is a nonprofit public charity established in 1991 to seve donors, award grants and scholarships, and provide leadership to enrich and enhance the quality of life in Rush County, Indiana, not only today but for our future generations.",,http://rushcountyfoundation.org/,"Gary Cooley, Executive Director",garryc@rushcountyfoundation.org,765-938-1177,677.8410085,571.7948273
Community Foundation,6,Union County Foundation Inc.,Union,Not Readily Available,,http://www.ucfoundationinc.org/,Not Readily Available,dklein@ucfoundationinc.org,765-458-7664,674.58301,615.2155183
Community Foundation,6,Wayne County Foundation Inc.,Wayne,Not Readily Available,,http://www.waynecountyfoundation.org/,"Stephen C. Borchers, Executive Director",steve@waynecountyfoundation.org,765-962-1638,680.5785201,535.2979167
Regional Planning Initiative,3,Northeast Indiana Area Health Education Center (Adams),Adams,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://cms.bsu.edu/about/administrativeoffices/bbc/affiliatedcenters/neiahec,Cathy Whaley,cdwhaley@bsu.edu,765-285-5681,1235.092742,701.6552242
Regional Planning Initiative,3,Northeast Indiana Area Health Education Center (Allen),Allen,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://cms.bsu.edu/about/administrativeoffices/bbc/affiliatedcenters/neiahec,Cathy Whaley,cdwhaley@bsu.edu,765-285-5681,1101.738104,897.5626513
