Organization,Category,Mission/Goals,Service Area (Region),County,Also Serving,Region,Website,Contact Person,Email,Phone
Snider High School,JAG,"Jobs for America's Graduates (JAG) is a state-based national non-profit organizatoin dedicated to preventing dropouts among young people who are most at-risk. JAG helps young people stay in school through graduation, pursue postsecondary education and secure quality entry-level jobs leading to career advancement opportunities.",Fort Wayne Community Schools,Allen,n/a,3,http://snider.fwcs.k12.in.us/ ,Rachel Bryant,rachelbryant@canihelp.org,260-760-2984
South Side High School,JAG,"Jobs for America's Graduates (JAG) is a state-based national non-profit organizatoin dedicated to preventing dropouts among young people who are most at-risk. JAG helps young people stay in school through graduation, pursue postsecondary education and secure quality entry-level jobs leading to career advancement opportunities.",Fort Wayne Community Schools,Allen,n/a,3,http://southside.fwcs.k12.in.us/ ,Rachel Bryant,rachelbryant@canihelp.org,260-760-2984
Tucker Career & Technology Center,CTE Center,"Mission: Tucker Career & Technology Center will develop in every student (relevant) technical, academics and job readiness skills.","School Corporations : #2865 Marion, #2815 Eastbrook, #2855 Mississinewa, #5625 Oak Hill",Grant,Miami,3,http://tucker.marion.k12.in.us/ ,Mike Ripperger,mripperger@marion.k12.in.us,765-664-9091
Wayne High School,JAG,"Jobs for America's Graduates (JAG) is a state-based national non-profit organizatoin dedicated to preventing dropouts among young people who are most at-risk. JAG helps young people stay in school through graduation, pursue postsecondary education and secure quality entry-level jobs leading to career advancement opportunities.",Fort Wayne Community Schools,Allen,n/a,3,http://wayne.fwcs.k12.in.us/ ,Rachel Bryant,rachelbryant@canihelp.org,260-760-2984
Adams Central Latchkey,School Age Program,Not provided,Adams county residents,Adams,n/a,3,,Marybeth Irwin,,(206) 692-6629
Peace Montessori School,Child Care Center,School for elementary students grades 1-8.,"Allen, DeKalb county residents",Allen,DeKalb,3,,Joan Hayden,director@peacemontessori.org,(260) 493-3114
City Safari Day Camp,School Age Program,"Let's get ready for a fun filled summer of action packed activities! All while exploring everything this beautiful city has to offer. Each week has its own unique and interesting theme that will be discovered through, trips, arts & crafts, games and much more. Let's just say that this summer will be a little less than ordinary as we travel to a landmark outside Fort Wayne and learn how to use public transportation on our journey to the Northside Pool every week. Feel free to stay one or all six weeks at City Safari Summer Day Camp if you're entering 1st-6th grade. A typical day runs from 9:00 a.m.-4:00 p.m. CCDF vouchers are accepted and free before & after care are provided every day. Note: There is no camp June 29-July 3. For more information, look for the summer youth section insert in the middle of this booklet or phone 427-6440.",Allen county residents,Allen,n/a,3,www.botanicalconservatory.org,Joel Bowerman,joel.bowerman@cityoffortwayne.org,(260) 427-6445
Crescent Avenue Weekday School,Child Care Center,"Socialization, Teamwork, Conflict Resolution",Allen county residents,Allen,n/a,3,,Rhonda Rasnic,caws@caumc.net,(260) 423-4718
Fort Wayne Children's Zoo Summer Safari Day Camp,School Age Program,"Your child can spend a wild week at the Fort Wayne Children's Zoo's Summer Safari Day Camp! Now in its 26th year, Summer Safari Day Camp fosters a love of nature and animals while encouraging teamwork and friendship. We'll explore the zoo, meet friendly zoo animals, and make memories that will last a lifetime. Voted Fort Wayne's Number One Day Camp!",Allen county residents,Allen,n/a,3,www.kidszoo.org,Education Department,education@kidszoo.org,(260) 427-6808
Friendship Company,School Age Program,"Before and After-school program for students who attend Southwest Allen County Schools. Serving Aboite, Haverhill and Lafayette Meadows.",Allen county residents,Allen,n/a,3,http://sacs.schoolwires.net//site/Default.aspx?PageID=784,Jennifer Hiester,jhiester@sacs.k12.in.us,(260) 431-2113
Imagine Zone,School Age Program,Not provided,Allen county residents,Allen,n/a,3,,"Imagine Charter School, Inc.",,(260) 420-8395
Jorgensen Family YMCA - Before and Afterschool Childcare,School Age Program,"The YMCA is a Christian based childcare with an emphasis on our core values of caring, honesty, respect, responsibility, and faith.",Allen county residents,Allen,n/a,3,www.fwymca.org,Natalie Blevins,natalie_blevins@fwymca.org,(260) 755-4826
Kiddie Academy of Fort Wayne,Child Care Center,breaks and weather times off we have full curriculum for them,Allen county residents,Allen,n/a,3,,Robin Becher,fortwayne@kiddieacademy.net,(260) 619-3903
Kiddie Prep School,Child Care Center,"Kiddie Prep School has a ""Before and After School"" program for children age 5 (in Kindergarten) to children age 12.  Area schools transport children to and from Kiddie Prep School by bus.  Breakfast is provided to children present in the morning and afternoon snack is given to those children here after school.  The children are given an opportunity to complete homework, as well as play and interact with their friends.We also have a summer day camp for children who have completed Kindergarten up to the age of 12.  The children participate in daily field trips including swimming, roller skating, bowling, tours of area businesses, etc.  The children also enjoy their time together in small group Devotions and Chapel time.  The children are supervised by an experienced and caring team throughout the day.",Allen county residents,Allen,n/a,3,http://kiddieprepschool.org/,Hughes Deb,dhughes@gpnaz.org,(260) 485-7951
Kimbrough Early Learning Center,Child Care Center,Before and After school care and adaptive sports and recreation.,Allen county residents,Allen,n/a,3,turnstone.org,Adrianne Lyon,adrianne@turnstone.org,(260) 483-2100
LEARN Program,School Age Program,"We provide an educationally based Before and After School care in the East Allen Elementary Schools. We are in NH Primary, NH Intermediate, and Heritage Elementary. We also provide a summer program.",Allen county residents,Allen,n/a,3,www.learnresourcecenter.org,Sharon Wilson,sharon@learnresourcecenter.org,(260) 749-9516
Parkview North YMCA,School Age Program,Not provided,Allen county residents,Allen,n/a,3,www.fwymca.org,Colman McCanna,colman.mccanna@fwymca.org,(260) 755-4849
Rainbow Child Care Center,Child Care Center,We offer a wonderfully diverse Summer Camp program as well as a full before and after school program for children including tutoring and homework help.,Allen county residents,Allen,n/a,3,rainbowccc.com,Brandi Saldivar,ftwayne@rainbowccc.com,(260) 755-2905
Renaissance Pointe Family YMCA,School Age Program,"Start your day off right!  The Renaissance Pointe YMCA officers a quality before and after care program.  Spend mornings with friends plaing games, reading and participating in group activities and more.  Breakfast is provided.  We also offer a snack during th after care program, which includes homework time, character develpment, supplemental educational activities, wellness, nutrition, life skills, sodcial time and art based activities.",Allen county residents,Allen,n/a,3,http://www.fwymca.org.reaissance_pointe_ymca.php,Rebekah Rinehart,rebekah_rinehart@fwymca.org,(260) 447-4567
Whitley County YMCA,School Age Program,"The Whitley County YMCA provides quality care for working parents.   In the afternoons, students are provided a snack, homework assistance, and other structured activities, including games, crafts, and more.",Allen county residents,Allen,n/a,3,www.fwymca.org,Jacie Stahl,jacie_stahl@fwymca.org,(260) 244-9622
YMCA of Greater Fort Wayne,School Age Program,"At the Y we believe all kids deserve the opportunity to discover who they are and what they can achieve. In our before and afterschool programs, youth are cultivating the values, skills and relationships that lead to positive behaviors, better health and education achievement.",Allen county residents,Allen,n/a,3,www.fwymca.org,Angie Liston,angie_liston@fwymca.org,(260) 449-8474
Center for Sucess,School Age Program,"Center for Success is an afterschool program for Marion's inner-city youth.  We serve kids k-8th grades.  We offer a safe, encouraging program that provides snacks, homework help, creative arts & team building activities.",Grant county residents,Grant,n/a,3,,Erika Horner,erikahorner@sbcglobal.net,(765) 346-3160
Grant County YMCA Live Y'ers,School Age Program,"Our focus is on respect, responsibility, honesty, and caring. We promote and encourage healthy lifestyles. Kids have time for homework, a healthy snack, and physical activity every day.",Grant county residents,Grant,n/a,3,www.grantcountyymca.org,Stephanie Ferry,stephanief@grantcountyymca.org,(765) 664-0544
The Training Center - Academic Enrichment Program,School Age Program,The Training Center is an academic enrichment program partnering with families and the community to provide a place where students can excel in academics and character.,Grant county residents,Grant,n/a,3,www.trainingcentermarion.com,Mary Prows,trainingcentermarion@gmail.com,(765) 251-0879
Boys and Girls Club of Huntington,School Age Program,Not provided,Huntington county residents,Huntington,n/a,3,www.bgchuntington.com,Desiree Frederick,desireem.frederick@gmail.com,(260) 359-1750
The Salvation Army Latchkey,School Age Program,"The Latchkey Program is designed to be a safe and secure setting for children to enjoy a positive environment.  The program has many things to offer students such as homework help, group reading time, and self soothing meditations that teach the children to maintain in stresssful situations.  This is combined with arts, crafts,  games, as well as free play time for the children in the school gyms or on the playgrounds.",Huntington county residents,Huntington,n/a,3,,Barb McCulley,barb_mcculley@usc.salvationarmy.org,(260) 356-3485
Lakeland School Corporation - Latchkey Program,School Age Program,"The Lakeland Latchkey program is located at Parkside Elementary School. The program provides quality before and after school care for students. It provides an academically enriching curriculum that may include technology, arts and crafts, reading time, and homework assistance.",LaGrange county residents,LaGrange,n/a,3,www.lakeland.k12.in.us,Vanessa Wyss,vwyss@lakeland.k12.in.us,(260) 499-2430
Cole Center Family YMCA,School Age Program,"This program offers homework help each day in aftercare. Students also play games, do craft activities, swim once a week.",Noble county residents,Noble,n/a,3,www.coleymca.net,Rhonda Reno,coleymcayouthandfamily@gmail.com,(260) 347-9622
"Kendallville Day Care Center, Inc.",Child Care Center,"Kendallville Day Care Centers School-Age program uses the Indiana After School Standards as well the nationally recognized Creative Curriculum to develop the curriculum, classroom environment, and weekly experience plans. Children are able to come before school to a welcoming and nurturing environment, enjoy a healthy breakfast, and safely get on the bus and depart for school. Our after school program provides a destination for children to get off the bus, eat a healthy snack, and participate in experiences of interest that are academically enriching as well as fun and exciting. Children are given the opportunity to relax and 'unwind"" from their day at school. We provide full day services to school age children during cancellations and school-year breaks. During summer break the children participate in daily field trips within walking distance to several local businesses (Example: Library, City Hall, local pizzeria, Humane Shelter, Fire Station, YMCA, etc.). The children are given the opportunity to become tourists in their own community and become enriched in their local culture.",Noble county residents,Noble,n/a,3,www.kendallvilldaycare.org,Brooke Hastings,east@kendallvilledaycare.org,(260) 347-1210
Kendallville Park & Recreation Dept. Summer Day Camp,School Age Program,We offer a 6 week summer day camp program held within our park.  It runs from June 16th-July 25th and is for children going into grades first through seventh.,Noble county residents,Noble,n/a,3,www.kendallville-in.org/Departments/Park,Dawn McGahen,dmcgahen@kendallville-in.org,(260) 347-1064
"LEAP of Noble County, Inc. - New DAWN Afterschool Program",School Age Program,"New DAWN (Dimensions at West Noble) is our  afterschool program in partnership with West Noble School Corporation. The program is offered to all students in the West Noble School Corporation in grades 2-6.  The program is held at West Noble Middle School every Monday through Thursday that school is being held. The afterschool program begins directly after school until 5:15 pm.  Students have a USDA approved snack, complete homework (as needed), and then participate in enrichments, which have included Wilson Reading, Moving with Math, Literacy in Action, technology, cooking, art, crafts, field trips, study tables, hip hop, martial arts, civic club, sports, and much more!",Noble county residents,Noble,n/a,3,www.leapofnoblecounty.org,Chris Ott,cott@leapofnoblecounty.org,(260) 343-1546
Best After School Enrichment (BASE) Camp @ Hamilton Elem.,School Age Program,an after school program that helps in completion of homework but also providing enrichment activities for both students and parents in STEM,"Steuben, DeKalb county residents",Steuben,DeKalb,3,,Janet Albright,janet.albright@hcs.k12.in.us,(317) 488-4178
Little Lambs Daycare Inc.,Child Care Center,Before and after school and Summer adventure program.,"Steuben, DeKalb, LaGrange county residents",Steuben,"DeKalb, LaGrange",3,,Claudia Smith,littlelambsinc@frontier.com,(260) 495-9113
Base Camp - Fremont Elementary School,School Age Program,"Base Camp is a 21st CCLC program that offers homework help and tutoring, character development and academic enrichment activities and club enrichment activities.",Steuben county residents,Steuben,n/a,3,steubenliteracy.org,Nichole Jahnke,njahnke@fcs.k12.in.us,(260) 316-2482
MSD of Steuben County After School Child Care,School Age Program,"Sports, outdoor play, table games, study time, reading groups, crafts, snack time, computer games",Steuben county residents,Steuben,n/a,3,www.msdsteuben.k12.in.us,Lisa Bauer,lbauer@msdsc.org,(260) 475-5055
SLAM DUNK,School Age Program,"SLAM DUNK is a 21st CCLC After School program offering students the opportunity to participate in academic clubs, receive homework assistance or tutoring, and character devleopment.",Steuben county residents,Steuben,n/a,3,steubenliteracy.org,Amy Sams,asams@msdsc.org,(260) 665-9581
Manchester Early Learning Center,Child Care Center,Before & after school care and care during the summer and school breaks,"Wabash, Huntington, Kosciusko, Whitley county residents",Wabash,"Huntington, Kosciusko, Whitley",3,,Janet French,manchesterearlylearningcenter@hotmail.com,(260) 982-4913
LEAP: Afterschool Program @ OJ Neighbours Elementary,School Age Program,"LEAP: Learn, Encourage, And Play. We provide homework help, tutoring from certified teachers, and enrichment activities after school every day.",Wabash county residents,Wabash,n/a,3,wabashcountyymca.org,Amanda Jones-Layman,ajones-layman@wabashcountyymca.org,(260) 563-9622
SPARK @ OJ Neighbours Elementary,School Age Program,"SPARK is a summer learning loss prevention program that boosts literacy skills of strategic readers and provides enrichment activities such as art, music, character development, physical activity, nutrition education and field trips.",Wabash county residents,Wabash,n/a,3,wabashcountyymca.org,Amanda Jones-Layman,ajones-layman@wabashcountyymca.org,(260) 563-9622
Bear Care Program @ Ossian Elementary Preschool,School Age Program,Before and after school day care for enrolled students at Ossian Elementary.,Wells county residents,Wells,n/a,3,www.nwcs.k12.in.us,Jenni Coratti,jenni.coratti@nwcs.k12.in.us,(260) 622-4179
Bobcat Care @ Lancaster Elementary,School Age Program,Before and after child care for preschool thru 5th grade,Wells county residents,Wells,n/a,3,,Cindy Schlichter,cindy.schlichter@nwcs.k12.in.us,(260) 565-3135
Lancaster Kindergarten Day Care,School Age Program,Not provided,Wells county residents,Wells,n/a,3,,Tamara Needler,,(260) 565-3135
"Churubusco Community Child Care Center, Inc",Child Care Center,"We care for children through age twelve before school, after school, and during school delays, cancellations or breaks.. We have a very active and educational curriculum. We participate in reading programs, science and exploration, and having lots of fun.","Whitley, Allen, Noble county residents",Whitley,"Allen, Noble",3,www.buscochildcare.org,Beth Brown,churubuscochild@kconline.com,(260) 693-2966
Kosciusko Community YMCA Kids' Club @ South Whitley,School Age Program,"The Y Kids' Club Before and After School Development Program is based on its Christian mission and purpose.  The specific outcome of the before and after school developmental program include but are not limited to: 1.  Demonstrate an appreciate for arts and humanities.  2. Demonstrate caring, honesty, respect and responsibility. 3. Demonstrate physical fitness and knowledge about helathy lifestyles througth the CATCH program.  4.  Complete homework and demonstrate a commitment to learning. 5. Read for pleasure. 6. Demonstrate a commitment to learning and using problem-solving skills. 7. Demonstrte civic leadership and service 8. Demonstrate age appropriate social skills, compliance with requests, and problem-solving skills. 9. Maintain adequate self-esteem. 10. Avoid engaging in anti-social behavior.",Whitley county residents,Whitley,n/a,3,kcymca.org,Tonya Douglass,twelsh@kcymca.org,(574) 269-9622
YMCA of Whitley County @ Coesse Elementary,School Age Program,Not provided,Whitley county residents,Whitley,n/a,3,,YMCA of Whitley County,jacie_stahl@fwymca.org,(260) 244-3351
Adams Central Community Schools,School Discticts /Corporations,,,Adams,,3,,,,
North Adams Community Schools,School Discticts /Corporations,,,Adams,,3,,,,
South Adams Schools,School Discticts /Corporations,,,Adams,,3,,,,
M S D Southwest Allen County Schls,School Discticts /Corporations,,,Allen,,3,,,,
Northwest Allen County Schools,School Discticts /Corporations,,,Allen,,3,,,,
Fort Wayne Community Schools,School Discticts /Corporations,,,Allen,,3,,,,
East Allen County Schools,School Discticts /Corporations,,,Allen,,3,,,,
DeKalb Co Eastern Com Sch Dist,School Discticts /Corporations,,,DeKalb,,3,,,,
Garrett-Keyser-Butler Com,School Discticts /Corporations,,,DeKalb,,3,,,,
DeKalb Co Ctl United Sch Dist,School Discticts /Corporations,,,DeKalb,,3,,,,
Eastbrook Community Sch Corp,School Discticts /Corporations,,,Grant,,3,,,,
Madison-Grant United Sch Corp,School Discticts /Corporations,,,Grant,,3,,,,
Mississinewa Community School Corp,School Discticts /Corporations,,,Grant,,3,,,,
Marion Community Schools,School Discticts /Corporations,,,Grant,,3,,,,
Huntington Co Com Sch Corp,School Discticts /Corporations,,,Huntington,,3,,,,
Prairie Heights Com Sch Corp,School Discticts /Corporations,,,LaGrange,,3,,,,
Westview School Corporation,School Discticts /Corporations,,,LaGrange,,3,,,,
Lakeland School Corporation,School Discticts /Corporations,,,LaGrange,,3,,,,
Central Noble Com School Corp,School Discticts /Corporations,,,Noble,,3,,,,
East Noble School Corp,School Discticts /Corporations,,,Noble,,3,,,,
West Noble School Corporation,School Discticts /Corporations,,,Noble,,3,,,,
Fremont Community Schools,School Discticts /Corporations,,,Steuben,,3,,,,
Hamilton Community Schools,School Discticts /Corporations,,,Steuben,,3,,,,
M S D Steuben County,School Discticts /Corporations,,,Steuben,,3,,,,
Manchester Community Schools,School Discticts /Corporations,,,Wabash,,3,,,,
M S D Wabash County Schools,School Discticts /Corporations,,,Wabash,,3,,,,
Wabash City Schools,School Discticts /Corporations,,,Wabash,,3,,,,
Southern Wells Com Schools,School Discticts /Corporations,,,Wells,,3,,,,
Northern Wells Com Schools,School Discticts /Corporations,,,Wells,,3,,,,
M S D Bluffton-Harrison,School Discticts /Corporations,,,Wells,,3,,,,
Whitko Community School Corp,School Discticts /Corporations,,,Whitley,,3,,,,
Smith-Green Community Schools,School Discticts /Corporations,,,Whitley,,3,,,,
Whitley Co Cons Schools,School Discticts /Corporations,,,Whitley,,3,,,,
Area 18 CTE Cooperative,CTE Center,"Our schools have continuously worked to implement career programs that bring workplace relevance to the hallways of our high schools. The integration of academics with real-world career programs happens everyday in Area 18 high schools. It is no accident that our schools earned an ""A"" for making sure that students are College and Career Ready!","School Corporations : #0015 Adams Central, #0035 South Adams, #8425 South Wells, #0025 North Adams, #8445 MSD Bluffton-Harrison, #3945 Jay County, #8435 Northern Wells, #3625 Huntington County #0515 Blackford County",Wells,"Adams, Jay, Blackford, Huntington",3,www.area18.org,Kevin Keller,kkeller@bhmsd.k12.in.us,260-824-4602
Area Five Agency On Aging And Community Services,Head Start,"Head Start promotes school preparation by enhancing the social and cognitive development of children through the provision of educational, health, nutritional, social and other services.","1 location in Akron, 1 location in Laketon, 1 location in Logansport, 1 location in Rochester, 1 location in Wabash",Cass,"Fulton, Wabash",4,http://www.areafive.com ,Not Readily Available,cindyh@areafive.com,(574) 722-4451
Area IV Agency On Aging & Community Action Program,Head Start,"Head Start promotes school preparation by enhancing the social and cognitive development of children through the provision of educational, health, nutritional, social and other services.","1 location in Flora, 1 location in Frankfort, 1 location in Monticello",Tippecanoe,"Carroll, Clinton, White",4,http://www.areaivagency.org ,Not Readily Available,jbelt@areaivagency.org,(765) 659-1100
"Bauer Family Resources, Inc.",Head Start,"Head Start promotes school preparation by enhancing the social and cognitive development of children through the provision of educational, health, nutritional, social and other services.","1 location in Dayton, 6 locations in Lafayette",Tippecanoe,n/a,4,www.bauerfamilyresources.org ,Not Readily Available,pbiggsreed@bauerfamilyresources.org,(765) 449-0487
"BONA VISTA PROGRAMS, INC.",Head Start,"Head Start promotes school preparation by enhancing the social and cognitive development of children through the provision of educational, health, nutritional, social and other services.","1 location in Kokomo, 1 location in Peru",Howard,Miami,4,,Not Readily Available,rmyers@bonavista.org,(765) 457-8273
Century Career Center,CTE Center,"Providing knowledge, skills, and opportunities for everyone to be successful!","School Corporations : #0875 Logansport, #0815 Southeastern, #0775 Pioneer, #6620 Eastern Pulaski, #2650 Caston",Cass,"White, Pulaski",4,http://ccc.lcsc.k12.in.us/pages/Century_Career_Center,James Little,littlej@lcsc.k12.in.us,574-722-3811
"Community Action Program, Inc. of Western Indiana",Head Start,"Head Start promotes school preparation by enhancing the social and cognitive development of children through the provision of educational, health, nutritional, social and other services.","1 location in Cayuga, 1 location in Covington, 1 location in Crawfordsville, 1 location in Lebanon, 1 location in Oxford, 1 location in Rockville ",Fountain,"Vermillion, Montgomery, Boone, Benton, Parke",4,http://www.capwi.org/head_start.htm ,Not Readily Available,rcurry@capwi.org,(765) 793-4881
Crawfordsville High School,JAG,"Jobs for America's Graduates (JAG) is a state-based national non-profit organizatoin dedicated to preventing dropouts among young people who are most at-risk. JAG helps young people stay in school through graduation, pursue postsecondary education and secure quality entry-level jobs leading to career advancement opportunities.",Crawfordsville Community School Corporation,Montgomery,n/a,4,http://www.cville.k12.in.us/Cville/Buildings/CrawfordsvilleHighSchool/tabid/54/Default.aspx ,Melanie Dorsey,mdorsey@tap.lafayette.in.us,765-807-0887
Indian Trails Career Cooperative,CTE Center,Not readily available.,"School Corporations : #8565 Twin Lakes, #3785 Kankakee Valley, #3815 Rensselaer, #5945 North Newton, #8515 North White, #6630 West Central, #0750 Carroll, #0755 Delphi, #8525 Frontier, #8535 Tri- County, #5995 South Newton ",White,"Jasper, Newton, Carroll, Benton",4,,James Stradling,jstradling@twinlakes.k12.in.us,574-583-7264
Kankakee-Iroquois Regional Planning Commission,Head Start,"Head Start promotes school preparation by enhancing the social and cognitive development of children through the provision of educational, health, nutritional, social and other services.","2 locations in Demotte, 1 location in Goodland, 1 location in Rensselaer, 1 location in Winamac",White,"Jasper, Newton, Pulaski",4,www.kirpc.net,Not Readily Available,tberkshire@urhere.net,(219) 253-6658
Kokomo Area Career Center,CTE Center,"Mission: The Kokomo Area Career Center inspires students to achieve technical and academic excellence. Vision: The Kokomo Area Career Center providies a positive learning environment focused on technical learning, student centered learning, and lifelong learning.","School Corporations : #3500 Kokomo, #3460 Taylor, #3470 Northwestern, #3480 East Howard, #3490 Western, #5615 Maconaquah, #7935 Tri-Central",Howard,"Miami, Tipton",4,http://www.kokomoschools.com/Domain/12 ,Jonathan Schuck,jschuck@kokomo.k12.in.us,765-455-8021
Kokomo High School,JAG,"Jobs for America's Graduates (JAG) is a state-based national non-profit organizatoin dedicated to preventing dropouts among young people who are most at-risk. JAG helps young people stay in school through graduation, pursue postsecondary education and secure quality entry-level jobs leading to career advancement opportunities.",Kokomo-Center Schools,Howard,n/a,4,http://www.kokomoschools.com/Domain/13 ,Melanie Dorsey,mdorsey@tap.lafayette.in.us,765-807-0887
Kokomo-Center Schools Head Start Program,Head Start,"Head Start promotes school preparation by enhancing the social and cognitive development of children through the provision of educational, health, nutritional, social and other services.","1 location in Kokomo, 2 locations in Peru, 1 location in Tipton",Howard,"Miami, Tipton",4,www.kokomoschools.com ,Not Readily Available,jworland@kokomo.k12.in.us,(765) 454-7082
Lafayette Jefferson High School,JAG,"Jobs for America's Graduates (JAG) is a state-based national non-profit organizatoin dedicated to preventing dropouts among young people who are most at-risk. JAG helps young people stay in school through graduation, pursue postsecondary education and secure quality entry-level jobs leading to career advancement opportunities.",Lafayette School Corporation,Tippecanoe,n/a,4,http://ljhs.lsc.schoolfusion.us/ ,Melanie Dorsey,mdorsey@tap.lafayette.in.us,765-807-0887
Logansport High School,JAG,"Jobs for America's Graduates (JAG) is a state-based national non-profit organizatoin dedicated to preventing dropouts among young people who are most at-risk. JAG helps young people stay in school through graduation, pursue postsecondary education and secure quality entry-level jobs leading to career advancement opportunities.",Logansport Community School Corporation,Cass,n/a,4,http://lhs.lcsc.k12.in.us/pages/Logansport_High_School ,Melanie Dorsey,mdorsey@tap.lafayette.in.us,765-807-0887
Oakland High School,JAG,"Jobs for America's Graduates (JAG) is a state-based national non-profit organizatoin dedicated to preventing dropouts among young people who are most at-risk. JAG helps young people stay in school through graduation, pursue postsecondary education and secure quality entry-level jobs leading to career advancement opportunities.",Lafayette School Corporation,Tippecanoe,n/a,4,http://oaklandhs.lsc.schoolfusion.us/ ,Melanie Dorsey,mdorsey@tap.lafayette.in.us,765-807-0887
Peru High School,JAG,"Jobs for America's Graduates (JAG) is a state-based national non-profit organizatoin dedicated to preventing dropouts among young people who are most at-risk. JAG helps young people stay in school through graduation, pursue postsecondary education and secure quality entry-level jobs leading to career advancement opportunities.",Peru Community Schools,Miami,n/a,4,http://www.peru.k12.in.us/index.php?CurPage=HS,Melanie Dorsey,mdorsey@tap.lafayette.in.us,765-807-0887
Twin Lakes High School,JAG,"Jobs for America's Graduates (JAG) is a state-based national non-profit organizatoin dedicated to preventing dropouts among young people who are most at-risk. JAG helps young people stay in school through graduation, pursue postsecondary education and secure quality entry-level jobs leading to career advancement opportunities.",Twin Lakes School Corporation,White,n/a,4,http://www.twinlakeshs.org/ ,Melanie Dorsey,mdorsey@tap.lafayette.in.us,765-807-0887
West Central Indiana Career and Technical Education,CTE Center,Not readily available.,"School Corporations : #5855 Crawfordsville, #2435 Attica, #2440 Covington, #2455 Southeast Fountain, #5835 North Montgomery, #5845 South Montgomery, #0615 Western Boone, #8115 MSD Warren County",Montgomery,"Fountain, Warren, Boone",4,,,dmartin@cville.k12.in.us,765-362-2340
Wildcat Creek Career Cooperative,CTE Center,"The Governing Board believes: Vocational Education provides all students an equal opportunity to acquire marketable skills, occupational knowledge and positive attitudes for the world of work; Vocational Education is vital to society and essentail to the economy in a free enterprise system because it develops in the individual a belief in the dignity of work, pride in accomplishment, and a desire to learn; Vocational Education is a major component within, and makes a significant contribution to, the total education process.","School Corporations : #7865 Tippecanoe, #7875 West Lafayette, #7855 Lafayette, #1160 Clinton Prairie, #1170 Frankfort, #1180 Rossville, #1150 Clinton Central, #0395 Benton",Tippecanoe,"Benton, Clinton",4,http://www.tsc.k12.in.us/index.cfm?pagetype=187&dir=0 ,Pamela Rager,pgrager@tsc.k12.in.us,765-772-4929
Cass County  Family YMCA,School Age Program,Not Readily Available,Cass county residents,Cass,n/a,4,casscountyymca.org,Kris Rance,kris.rance@dcsssscountyymca.org,(574) 753-5141
Rossville Before and After Care Program,School Age Program,Homework help is available if the parent requests the child complete homework in after care. Outdoor playground available in nice weather.,"Clinton, Carroll county residents",Clinton,Carroll,4,www.rcsd.k12.in.us,James Hanna,jhanna@rcsd.k12.in.us,(765) 379-2990
Olga Ortega-Lopez,School Age Program,Not Readily Available,Clinton county residents,Clinton,n/a,4,Not Readily Available,Olga Ortega-Lopez,Not Readily Available,(765) 670-6480
Finding Me Now,Child Care Center,We offer care to children ages up to 12 years old,Howard county residents,Howard,n/a,4,www.findingmenow.com,Rebecca Ryan,rebecca.ryan@findingmenow.com,(765) 453-1744
Kokomo Family YMCA Child Care Development Center,Child Care Center,"We have a Before/After school program where we do art & science activities, homework help, character development, & community service.",Howard county residents,Howard,n/a,4,Not Readily Available,Christie Tate,christie.tate@kokomoymca.org,(765) 236-2070
Micro Chips Early Learning Center,Child Care Center,"Twelve fun and unique weeks of camp, all summer long! From May through August, KinderCare offers awesome camps for pre-school, pre-k, and school-age kids. It's a great place to bring friends, and to meet new ones! We offer flexible scheduling options to meet the needs of busy families like yours, so join us for all 12 weeks or as many weeks as you like.",Howard county residents,Howard,n/a,4,www.cclc.com/microchips,Kathy Horton,kdhorton@cclc.com,(765) 455-1467
YMCA Child Care Development Center @ Northwestern Elementary,School Age Program,Not Readily Available,Howard county residents,Howard,n/a,4,Not Readily Available,Christine Tate,Not Readily Available,(765) 454-2335
AYS @ Northridge Middle School,School Age Program,"AYS, Inc. and North Montgomery Co. Schools are working together to provide an activities program after school. This program provides creative, recreational and physical activities, as well as enrichment and homework opportunities. Opportunities: Cooperative games, snacks, sports, table games, music time, reading, homework, arts & crafts, clubs",Montgomery county residents,Montgomery,n/a,4,www.ayskids.org,Andrea Freund,afreund@ayskids.org,(317) 283-3817
Burgett's Learning Center,Child Care Center,Before and after care and summer camp program. Half and all day Kindergarten program run by licensed teacher.,"Tippecanoe, Benton county residents",Tippecanoe,Benton,4,BurgettsLearningCenter.com,Bev Mills,info-westlafayette@burgettslearningcenter.com,(765) 463-1244
Just Us Kids,Child Care Center,"Before and after school care for Cumberland & Happy Hollow and Klondike school children. Includes breakfast or snack, homework help, STEM activities, and structured play.","Tippecanoe, Jackson county residents",Tippecanoe,Jackson,4,www.justuskidsinc.com,Nancy Beall,info@justuskidsinc.com,(765) 463-6129
Bauer Family Resources Youth Development Program,School Age Program,"The Youth Development Program is a drop in program for youth after school and during the summer. The goal of the Youth Development Program is to provide activities for children to enhance their education with positive activities to keep them safe and out of trouble. The supervision provided by the Youth Development staff creates a safe environment for youth members ages 5-18 who choose to participate in recreational activities, clubs and form friendships in their out of school time. Staff members work hard to plan clubs and activities that meet children's needs and interests. The Youth Development Program offers its members planned enrichment activities, community service opportunities, clubs, homework assistance, sports equipment, computer access all in a safe and secure facility.",Tippecanoe county residents,Tippecanoe,n/a,4,www.bauerfamilyresources.org,Sarah Murray,smurray@bauerfamilyresources.org,(765) 742-5046
