Organization,Category,Mission/Goals,Service Area (Region),County,Also Serving,Region,Website,Contact Person,Email,Phone
Tipton County Economic Development Corporation,Local Economic Development Organization,Not readily available.,Tipton County,Tipton,n/a,4,www.tiptoncountyusa.com,D. Jeffrey Sheridan,director@tiptonedo.org,765.675.7418
Warren County Local Economic Development Organization,Local Economic Development Organization,"Warren County LEDO lends support to established companies by providing information and support relative to workforce training. LEDO also supports local, state, and federal initiatives for expansion of employment and technology enhancement.",Warren County,Warren,n/a,4,www.warrenadvantage.com,Steve Eberly,ledo@warrenadvantage.com,765.762.6055
White County Economic Development Organization,Local Economic Development Organization,The mission of the White County Economic Development Organization is to enhance the economy of White County by facilitating the growth and development of business and industry.,White County,White,n/a,4,www.whitecountyin.org,Randy Mitchell,rmitchell@whiced.com,574.583.6557
Indiana's Technology Corridor (Benton),Regional Economic Development Organization,"Amazing things happen in places where the education and business communities join forces. The global economy has been propelled by areas like Silicon Valley, where radically new concepts are transformed into practical everyday uses. That’s what you’ll find in Indiana’s Technology Corridor. Centered upon the advanced technology being created in labs at Purdue University and Indiana University, powered by highly skilled training from Ivy Tech Community College, and inspired by a long tradition of individual initiative, this region is shaping the nation’s future.","Benton, Carroll, Cass, Fountain, Montgomery, Pulaski, Tippecanoe, Warren, and White counties.",Benton,n/a,4,www.IndianasTechnologyCorridor.com,Steve Eberly,Not Readily Available,765.762.6055
Indiana's Technology Corridor (Carroll),Regional Economic Development Organization,"Amazing things happen in places where the education and business communities join forces. The global economy has been propelled by areas like Silicon Valley, where radically new concepts are transformed into practical everyday uses. That’s what you’ll find in Indiana’s Technology Corridor. Centered upon the advanced technology being created in labs at Purdue University and Indiana University, powered by highly skilled training from Ivy Tech Community College, and inspired by a long tradition of individual initiative, this region is shaping the nation’s future.","Benton, Carroll, Cass, Fountain, Montgomery, Pulaski, Tippecanoe, Warren, and White counties.",Carroll,n/a,4,www.IndianasTechnologyCorridor.com,Steve Eberly,Not Readily Available,765.762.6055
Indiana's Technology Corridor (Cass),Regional Economic Development Organization,"Amazing things happen in places where the education and business communities join forces. The global economy has been propelled by areas like Silicon Valley, where radically new concepts are transformed into practical everyday uses. That’s what you’ll find in Indiana’s Technology Corridor. Centered upon the advanced technology being created in labs at Purdue University and Indiana University, powered by highly skilled training from Ivy Tech Community College, and inspired by a long tradition of individual initiative, this region is shaping the nation’s future.","Benton, Carroll, Cass, Fountain, Montgomery, Pulaski, Tippecanoe, Warren, and White counties.",Cass,n/a,4,www.IndianasTechnologyCorridor.com,Steve Eberly,Not Readily Available,765.762.6055
Indiana's Technology Corridor (Fountain),Regional Economic Development Organization,"Amazing things happen in places where the education and business communities join forces. The global economy has been propelled by areas like Silicon Valley, where radically new concepts are transformed into practical everyday uses. That’s what you’ll find in Indiana’s Technology Corridor. Centered upon the advanced technology being created in labs at Purdue University and Indiana University, powered by highly skilled training from Ivy Tech Community College, and inspired by a long tradition of individual initiative, this region is shaping the nation’s future.","Benton, Carroll, Cass, Fountain, Montgomery, Pulaski, Tippecanoe, Warren, and White counties.",Fountain,n/a,4,www.IndianasTechnologyCorridor.com,Steve Eberly,Not Readily Available,765.762.6055
Indiana's Technology Corridor (Montgomery),Regional Economic Development Organization,"Amazing things happen in places where the education and business communities join forces. The global economy has been propelled by areas like Silicon Valley, where radically new concepts are transformed into practical everyday uses. That’s what you’ll find in Indiana’s Technology Corridor. Centered upon the advanced technology being created in labs at Purdue University and Indiana University, powered by highly skilled training from Ivy Tech Community College, and inspired by a long tradition of individual initiative, this region is shaping the nation’s future.","Benton, Carroll, Cass, Fountain, Montgomery, Pulaski, Tippecanoe, Warren, and White counties.",Montgomery,n/a,4,www.IndianasTechnologyCorridor.com,Steve Eberly,Not Readily Available,765.762.6055
Indiana's Technology Corridor (Pulaski),Regional Economic Development Organization,"Amazing things happen in places where the education and business communities join forces. The global economy has been propelled by areas like Silicon Valley, where radically new concepts are transformed into practical everyday uses. That’s what you’ll find in Indiana’s Technology Corridor. Centered upon the advanced technology being created in labs at Purdue University and Indiana University, powered by highly skilled training from Ivy Tech Community College, and inspired by a long tradition of individual initiative, this region is shaping the nation’s future.","Benton, Carroll, Cass, Fountain, Montgomery, Pulaski, Tippecanoe, Warren, and White counties.",Pulaski,n/a,1,www.IndianasTechnologyCorridor.com,Steve Eberly,Not Readily Available,765.762.6055
Indiana's Technology Corridor (Tippecanoe),Regional Economic Development Organization,"Amazing things happen in places where the education and business communities join forces. The global economy has been propelled by areas like Silicon Valley, where radically new concepts are transformed into practical everyday uses. That’s what you’ll find in Indiana’s Technology Corridor. Centered upon the advanced technology being created in labs at Purdue University and Indiana University, powered by highly skilled training from Ivy Tech Community College, and inspired by a long tradition of individual initiative, this region is shaping the nation’s future.","Benton, Carroll, Cass, Fountain, Montgomery, Pulaski, Tippecanoe, Warren, and White counties.",Tippecanoe,n/a,4,www.IndianasTechnologyCorridor.com,Steve Eberly,Not Readily Available,765.762.6055
Indiana's Technology Corridor (Warren),Regional Economic Development Organization,"Amazing things happen in places where the education and business communities join forces. The global economy has been propelled by areas like Silicon Valley, where radically new concepts are transformed into practical everyday uses. That’s what you’ll find in Indiana’s Technology Corridor. Centered upon the advanced technology being created in labs at Purdue University and Indiana University, powered by highly skilled training from Ivy Tech Community College, and inspired by a long tradition of individual initiative, this region is shaping the nation’s future.","Benton, Carroll, Cass, Fountain, Montgomery, Pulaski, Tippecanoe, Warren, and White counties.",Warren,n/a,4,www.IndianasTechnologyCorridor.com,Steve Eberly,Not Readily Available,765.762.6055
Indiana's Technology Corridor (White),Regional Economic Development Organization,"Amazing things happen in places where the education and business communities join forces. The global economy has been propelled by areas like Silicon Valley, where radically new concepts are transformed into practical everyday uses. That’s what you’ll find in Indiana’s Technology Corridor. Centered upon the advanced technology being created in labs at Purdue University and Indiana University, powered by highly skilled training from Ivy Tech Community College, and inspired by a long tradition of individual initiative, this region is shaping the nation’s future.","Benton, Carroll, Cass, Fountain, Montgomery, Pulaski, Tippecanoe, Warren, and White counties.",White,n/a,4,www.IndianasTechnologyCorridor.com,Steve Eberly,Not Readily Available,765.762.6055
Boone County Economic Development Corporation,Local Economic Development Organization,Not readily available.,Boone County,Boone,n/a,5,www.booneedc.org,Molly Whitehead,mwhitehead@booneedc.org,765.719.5268
Hamilton County Alliance,Local Economic Development Organization,The Hamilton County Economic Development Corporation acts to enhance the county’s economic health and quality of life by attracting and retaining businesses that will create a strong tax base through the provision of high quality jobs and capital investment.,Hamilton County,Hamilton,n/a,5,www.investhamiltoncounty.com,Tim Monger,tim.monger@investhamiltoncounty.com,317.345.4053
Hancock Economic Development Council,Local Economic Development Organization,"The Hancock Economic Development Council provides site location assistance, cost of doing business analysis, and economic impact modeling to site location consultants, the corporate real estate community, and individual businesses. We also serve as a liaison between local government and the business community. Local government is represented nationally and internationally through aggressive marketing and relationship management programs. The mission of the Hancock Economic Development Council is to “enhance the quality of life in Hancock County through the attraction and retention of quality jobs and promoting a diversified tax base.”",Hancock County,Hancock,n/a,5,www.hancockedc.com,"Nolan ""Skip"" Kuker",skuker@hancockedc.com,317.477.7241
Hendricks County Economic Development Partnership,Local Economic Development Organization,"Mission: To compete effectively for quality economic development throughout Hendricks County by providing unified, proactive public/private leadership.",Hendricks County,Hendricks,n/a,5,www.hcedp.org,Cinda Kelley,Kelley@hcedp.org,317.745.2400
Johnson County Development Corporation,Local Economic Development Organization,"JCDC’s mission is to reach globally to enhance the county’s quality of life, standard of living, and tax base by developing a diversified and high income employment environment, and creating new capital investment opportunities through the retention and expansion of our existing marketplace and the attraction of new companies to our county.",Johnson County,Johnson,n/a,5,www.jcdc.org,Cheryl Morphew,cmorphew@jcdc.org,317.736.4300
Corporation for Economic Development,Local Economic Development Organization,"The mission of the Corporation for Economic Development (CED) is to plan and undertake activities leading to steady job growth, increasing economic diversity, and a strengthened employer base which enhance the quality of life of Madison County.",Madison County,Madison,n/a,5,www.cedanderson.com,Rob Sparks,robsparks@cedanderson.com,765.642.1860
Develop Indy,Local Economic Development Organization,"The Indy Chamber serves as a voice of progress and improvement in the region, uniting business and community to maintain a strong economy and quality of life. Our advocacy efforts, networking events, economic development initiatives, and other member benefits  position members, business leaders and the community for success.",Marion County,Marion,n/a,12,www.developindy.com,Brian Gildea,bgildea@indychamber.com,317.808.3257
Morgan County Economic Development Corporation,Local Economic Development Organization,Our mission: New jobs. Capital Investment.,Morgan County,Morgan,n/a,5,www.morgancoed.com,Chelsey Manns,cmanns@morgancoed.com,317.831.9544
Shelby County Economic Development Corporation,Local Economic Development Organization,Not readily available.,Shelby County,Shelby,n/a,5,www.shelbydevelopment.com,Dan Theobald,d.theobald@shelbydevelopment.com,317.398.8903
Energize - ECI (East Central Indiana)-B (Delaware),Regional Economic Development Organization,"Formed in 2005, Energize-ECI, Inc. is a pro-active private-public partnership with a mission to market the assets and resources of the 10-county East Central Indiana (ECI) region and to team with local economic development organizations (LEDOs) and the Indiana Economic Development Corporation to bring capital investment and new jobs to the region and to assist existing ECI businesses grow and prosper. ","Blackford, Delaware, Fayette, Grant, Henry, Jay, Madison, Randolph, and Rush counties.",Delaware,"Blackford, Fayette, Grant, Henry, Jay, Madison, Randolph, Rush",6,www.Energize-ECI.org,Mindy Kenworthy,Not Readily Available,765.254.1420
Energize - ECI (East Central Indiana)-B (Blackford),Regional Economic Development Organization,"Formed in 2005, Energize-ECI, Inc. is a pro-active private-public partnership with a mission to market the assets and resources of the 10-county East Central Indiana (ECI) region and to team with local economic development organizations (LEDOs) and the Indiana Economic Development Corporation to bring capital investment and new jobs to the region and to assist existing ECI businesses grow and prosper. ","Blackford, Delaware, Fayette, Grant, Henry, Jay, Madison, Randolph, and Rush counties.",Blackford,"Blackford, Fayette, Grant, Henry, Jay, Madison, Randolph, Rush",6,www.Energize-ECI.org,Mindy Kenworthy,Not Readily Available,765.254.1420
Energize - ECI (East Central Indiana)-B (Fayette),Regional Economic Development Organization,"Formed in 2005, Energize-ECI, Inc. is a pro-active private-public partnership with a mission to market the assets and resources of the 10-county East Central Indiana (ECI) region and to team with local economic development organizations (LEDOs) and the Indiana Economic Development Corporation to bring capital investment and new jobs to the region and to assist existing ECI businesses grow and prosper. ","Blackford, Delaware, Fayette, Grant, Henry, Jay, Madison, Randolph, and Rush counties.",Fayette,"Blackford, Fayette, Grant, Henry, Jay, Madison, Randolph, Rush",6,www.Energize-ECI.org,Mindy Kenworthy,Not Readily Available,765.254.1420
Energize - ECI (East Central Indiana)-B (Grant),Regional Economic Development Organization,"Formed in 2005, Energize-ECI, Inc. is a pro-active private-public partnership with a mission to market the assets and resources of the 10-county East Central Indiana (ECI) region and to team with local economic development organizations (LEDOs) and the Indiana Economic Development Corporation to bring capital investment and new jobs to the region and to assist existing ECI businesses grow and prosper. ","Blackford, Delaware, Fayette, Grant, Henry, Jay, Madison, Randolph, and Rush counties.",Grant,"Blackford, Fayette, Grant, Henry, Jay, Madison, Randolph, Rush",3,www.Energize-ECI.org,Mindy Kenworthy,Not Readily Available,765.254.1420
Energize - ECI (East Central Indiana)-B (Henry),Regional Economic Development Organization,"Formed in 2005, Energize-ECI, Inc. is a pro-active private-public partnership with a mission to market the assets and resources of the 10-county East Central Indiana (ECI) region and to team with local economic development organizations (LEDOs) and the Indiana Economic Development Corporation to bring capital investment and new jobs to the region and to assist existing ECI businesses grow and prosper. ","Blackford, Delaware, Fayette, Grant, Henry, Jay, Madison, Randolph, and Rush counties.",Henry,"Blackford, Fayette, Grant, Henry, Jay, Madison, Randolph, Rush",6,www.Energize-ECI.org,Mindy Kenworthy,Not Readily Available,765.254.1420
Energize - ECI (East Central Indiana)-B (Jay),Regional Economic Development Organization,"Formed in 2005, Energize-ECI, Inc. is a pro-active private-public partnership with a mission to market the assets and resources of the 10-county East Central Indiana (ECI) region and to team with local economic development organizations (LEDOs) and the Indiana Economic Development Corporation to bring capital investment and new jobs to the region and to assist existing ECI businesses grow and prosper. ","Blackford, Delaware, Fayette, Grant, Henry, Jay, Madison, Randolph, and Rush counties.",Jay,"Blackford, Fayette, Grant, Henry, Jay, Madison, Randolph, Rush",6,www.Energize-ECI.org,Mindy Kenworthy,Not Readily Available,765.254.1420
Energize - ECI (East Central Indiana)-B (Madison),Regional Economic Development Organization,"Formed in 2005, Energize-ECI, Inc. is a pro-active private-public partnership with a mission to market the assets and resources of the 10-county East Central Indiana (ECI) region and to team with local economic development organizations (LEDOs) and the Indiana Economic Development Corporation to bring capital investment and new jobs to the region and to assist existing ECI businesses grow and prosper. ","Blackford, Delaware, Fayette, Grant, Henry, Jay, Madison, Randolph, and Rush counties.",Madison,"Blackford, Fayette, Grant, Henry, Jay, Madison, Randolph, Rush",5,www.Energize-ECI.org,Mindy Kenworthy,Not Readily Available,765.254.1420
Energize - ECI (East Central Indiana)-B (Randolph),Regional Economic Development Organization,"Formed in 2005, Energize-ECI, Inc. is a pro-active private-public partnership with a mission to market the assets and resources of the 10-county East Central Indiana (ECI) region and to team with local economic development organizations (LEDOs) and the Indiana Economic Development Corporation to bring capital investment and new jobs to the region and to assist existing ECI businesses grow and prosper. ","Blackford, Delaware, Fayette, Grant, Henry, Jay, Madison, Randolph, and Rush counties.",Randolph,"Blackford, Fayette, Grant, Henry, Jay, Madison, Randolph, Rush",6,www.Energize-ECI.org,Mindy Kenworthy,Not Readily Available,765.254.1420
Energize - ECI (East Central Indiana)-B (Rush),Regional Economic Development Organization,"Formed in 2005, Energize-ECI, Inc. is a pro-active private-public partnership with a mission to market the assets and resources of the 10-county East Central Indiana (ECI) region and to team with local economic development organizations (LEDOs) and the Indiana Economic Development Corporation to bring capital investment and new jobs to the region and to assist existing ECI businesses grow and prosper. ","Blackford, Delaware, Fayette, Grant, Henry, Jay, Madison, Randolph, and Rush counties.",Rush,"Blackford, Fayette, Grant, Henry, Jay, Madison, Randolph, Rush",6,www.Energize-ECI.org,Mindy Kenworthy,Not Readily Available,765.254.1420
Indy Partnership (Marion),Regional Economic Development Organization,"Contact our regional economic development team to learn about the region’s workforce, industries, and possibilities for your business to grow. Our team will get you connected with local economic development organizations to help you make your decision. Our business development team facilitates a wide array of expansion and relocation incentives through state and local government agencies. Our staff is experienced in navigating the tax abatement and grants processes and has established working relationships with the appropriate professionals throughout the Indianapolis region. ","Boone, Hamilton, Hancock, Hendricks, Johnson, Madison, Marion, Morgan, and Shelby counties.",Marion,"Boone, Hamilton, Hancock, Hendricks, Johnson, Madison, Morgan, Shelby",12,www.IndyPartnership.com,Marty Vanags,Not Readily Available,317.464.2227
Indy Partnership (Boone),Regional Economic Development Organization,"Contact our regional economic development team to learn about the region’s workforce, industries, and possibilities for your business to grow. Our team will get you connected with local economic development organizations to help you make your decision. Our business development team facilitates a wide array of expansion and relocation incentives through state and local government agencies. Our staff is experienced in navigating the tax abatement and grants processes and has established working relationships with the appropriate professionals throughout the Indianapolis region. ","Boone, Hamilton, Hancock, Hendricks, Johnson, Madison, Marion, Morgan, and Shelby counties.",Boone,"Boone, Hamilton, Hancock, Hendricks, Johnson, Madison, Morgan, Shelby",5,www.IndyPartnership.com,Marty Vanags,Not Readily Available,317.464.2227
Indy Partnership (Hamilton),Regional Economic Development Organization,"Contact our regional economic development team to learn about the region’s workforce, industries, and possibilities for your business to grow. Our team will get you connected with local economic development organizations to help you make your decision. Our business development team facilitates a wide array of expansion and relocation incentives through state and local government agencies. Our staff is experienced in navigating the tax abatement and grants processes and has established working relationships with the appropriate professionals throughout the Indianapolis region. ","Boone, Hamilton, Hancock, Hendricks, Johnson, Madison, Marion, Morgan, and Shelby counties.",Hamilton,"Boone, Hamilton, Hancock, Hendricks, Johnson, Madison, Morgan, Shelby",5,www.IndyPartnership.com,Marty Vanags,Not Readily Available,317.464.2227
Indy Partnership (Hancock),Regional Economic Development Organization,"Contact our regional economic development team to learn about the region’s workforce, industries, and possibilities for your business to grow. Our team will get you connected with local economic development organizations to help you make your decision. Our business development team facilitates a wide array of expansion and relocation incentives through state and local government agencies. Our staff is experienced in navigating the tax abatement and grants processes and has established working relationships with the appropriate professionals throughout the Indianapolis region. ","Boone, Hamilton, Hancock, Hendricks, Johnson, Madison, Marion, Morgan, and Shelby counties.",Hancock,"Boone, Hamilton, Hancock, Hendricks, Johnson, Madison, Morgan, Shelby",5,www.IndyPartnership.com,Marty Vanags,Not Readily Available,317.464.2227
Indy Partnership (Hendricks),Regional Economic Development Organization,"Contact our regional economic development team to learn about the region’s workforce, industries, and possibilities for your business to grow. Our team will get you connected with local economic development organizations to help you make your decision. Our business development team facilitates a wide array of expansion and relocation incentives through state and local government agencies. Our staff is experienced in navigating the tax abatement and grants processes and has established working relationships with the appropriate professionals throughout the Indianapolis region. ","Boone, Hamilton, Hancock, Hendricks, Johnson, Madison, Marion, Morgan, and Shelby counties.",Hendricks,"Boone, Hamilton, Hancock, Hendricks, Johnson, Madison, Morgan, Shelby",5,www.IndyPartnership.com,Marty Vanags,Not Readily Available,317.464.2227
Indy Partnership (Johnson),Regional Economic Development Organization,"Contact our regional economic development team to learn about the region’s workforce, industries, and possibilities for your business to grow. Our team will get you connected with local economic development organizations to help you make your decision. Our business development team facilitates a wide array of expansion and relocation incentives through state and local government agencies. Our staff is experienced in navigating the tax abatement and grants processes and has established working relationships with the appropriate professionals throughout the Indianapolis region. ","Boone, Hamilton, Hancock, Hendricks, Johnson, Madison, Marion, Morgan, and Shelby counties.",Johnson,"Boone, Hamilton, Hancock, Hendricks, Johnson, Madison, Morgan, Shelby",5,www.IndyPartnership.com,Marty Vanags,Not Readily Available,317.464.2227
Indy Partnership (Madison),Regional Economic Development Organization,"Contact our regional economic development team to learn about the region’s workforce, industries, and possibilities for your business to grow. Our team will get you connected with local economic development organizations to help you make your decision. Our business development team facilitates a wide array of expansion and relocation incentives through state and local government agencies. Our staff is experienced in navigating the tax abatement and grants processes and has established working relationships with the appropriate professionals throughout the Indianapolis region. ","Boone, Hamilton, Hancock, Hendricks, Johnson, Madison, Marion, Morgan, and Shelby counties.",Madison,"Boone, Hamilton, Hancock, Hendricks, Johnson, Madison, Morgan, Shelby",5,www.IndyPartnership.com,Marty Vanags,Not Readily Available,317.464.2227
Indy Partnership (Morgan),Regional Economic Development Organization,"Contact our regional economic development team to learn about the region’s workforce, industries, and possibilities for your business to grow. Our team will get you connected with local economic development organizations to help you make your decision. Our business development team facilitates a wide array of expansion and relocation incentives through state and local government agencies. Our staff is experienced in navigating the tax abatement and grants processes and has established working relationships with the appropriate professionals throughout the Indianapolis region. ","Boone, Hamilton, Hancock, Hendricks, Johnson, Madison, Marion, Morgan, and Shelby counties.",Morgan,"Boone, Hamilton, Hancock, Hendricks, Johnson, Madison, Morgan, Shelby",5,www.IndyPartnership.com,Marty Vanags,Not Readily Available,317.464.2227
Indy Partnership (Shelby),Regional Economic Development Organization,"Contact our regional economic development team to learn about the region’s workforce, industries, and possibilities for your business to grow. Our team will get you connected with local economic development organizations to help you make your decision. Our business development team facilitates a wide array of expansion and relocation incentives through state and local government agencies. Our staff is experienced in navigating the tax abatement and grants processes and has established working relationships with the appropriate professionals throughout the Indianapolis region. ","Boone, Hamilton, Hancock, Hendricks, Johnson, Madison, Marion, Morgan, and Shelby counties.",Shelby,"Boone, Hamilton, Hancock, Hendricks, Johnson, Madison, Morgan, Shelby",5,www.IndyPartnership.com,Marty Vanags,Not Readily Available,317.464.2227
Blackford County Economic Development Corporation,Local Economic Development Organization,"Mission: To stimulate economic growth, which will provide new employment opportunities, expand the local tax base, and create new wealth for Blackford County. ",Blackford County,Blackford,n/a,6,www.blackfordcoedc.org,Jacob Everett,jeverett@blackfordcoedc.org,765.348.4944
Muncie/Delaware County Economic Development Alliance,Local Economic Development Organization,"The Vision 2016 Economic Development Program has the following goals: Expansion and retention of existing businesses, new business attraction, image of Muncie-Delaware County, workforce education, community planning and preparedness, early childhood education.",Delaware County,Delaware,n/a,6,www.muncie.com,Terry Murphy,tmurphy@muncie.com,765.288.6681
Economic Development Group,Local Economic Development Organization,The Economic Development Group fosters economic and employment opportunities for the people and businesses of Fayette County.  We do this by supporting private investment into our economy.,Fayette County,Fayette,n/a,6,www.edgconnersville.com,Dan Parker,dparker@edgconnersville.com,765.827.1366
New Castle-Henry County Economic Development Corporation,Local Economic Development Organization,Mission: The primary mission of the New Castle-Henry County Economic Development Corporation is to foster a strong economic environment that supports businesses and nurtures growth and new investment in the region. We are dedicated to promoting and facilitating economic development and to improving the quality of life in Henry County by increasing its economic base.,Henry County,Henry,n/a,6,www.nchcedc.org,Corey Murphy,cmurphy@nchcedc.org,765.521.7402
Jay County Development Corporation,Local Economic Development Organization,"We are here to assist our communities in growing their economies. In some cases, this may mean helping them in the area of industrial recruitment and retention. In other cases, the JCDC will assist our communities in making their communities even better. Growth and development, with a strong concentration in professional assistance have enabled our communities to buck the trend of population loss in east central Indiana.",Jay County,Jay,n/a,6,www.jaycountydevelopment.org,Bill Bradley Jr.,bbradley@jaycodev.org,260.726.9311
Randolph County Economic Development Corporation,Local Economic Development Organization,Our mission is to facilitate investment and foster job retention and creation within our county.,Randolph County,Randolph,n/a,6,www.randolph-county.org,Bruce Hosier,bruce@randolph-county.org,765.584.3266
Rush County Economic & Community Development Corporation,Local Economic Development Organization,Not readily available.,Rush County,Rush,n/a,6,www.rushecdc.org,John McCane,johnmccane@rushecdc.org,765.938.3232
Union County Development Corporation,Local Economic Development Organization,Not readily available.,Union County,Union,n/a,6,www.ucdc.us,Melissa Browning,unioncodc@frontier.com,765.458.5976
Economic Development Corporation of Wayne County Indiana,Local Economic Development Organization,"Our mission is to improve the business and community environment as well as employment opportunities in Wayne County, Indiana. ",Wayne County,Wayne,n/a,6,www.edcwc.com,Valerie Shaffer,valerie@edcwc.com,765.983.4769
Energize - ECI (East Central Indiana)-C (Delaware),Regional Economic Development Organization,"Formed in 2005, Energize-ECI, Inc. is a pro-active private-public partnership with a mission to market the assets and resources of the 10-county East Central Indiana (ECI) region and to team with local economic development organizations (LEDOs) and the Indiana Economic Development Corporation to bring capital investment and new jobs to the region and to assist existing ECI businesses grow and prosper. ","Blackford, Delaware, Fayette, Grant, Henry, Jay, Madison, Randolph, and Rush counties.",Delaware,"Blackford, Fayette, Grant, Henry, Jay, Madison, Randolph, Rush",6,www.Energize-ECI.org,Mindy Kenworthy,Not Readily Available,765.254.1420
Energize - ECI (East Central Indiana)-C (Blackford),Regional Economic Development Organization,"Formed in 2005, Energize-ECI, Inc. is a pro-active private-public partnership with a mission to market the assets and resources of the 10-county East Central Indiana (ECI) region and to team with local economic development organizations (LEDOs) and the Indiana Economic Development Corporation to bring capital investment and new jobs to the region and to assist existing ECI businesses grow and prosper. ","Blackford, Delaware, Fayette, Grant, Henry, Jay, Madison, Randolph, and Rush counties.",Blackford,"Blackford, Fayette, Grant, Henry, Jay, Madison, Randolph, Rush",6,www.Energize-ECI.org,Mindy Kenworthy,Not Readily Available,765.254.1420
Energize - ECI (East Central Indiana)-C (Fayette),Regional Economic Development Organization,"Formed in 2005, Energize-ECI, Inc. is a pro-active private-public partnership with a mission to market the assets and resources of the 10-county East Central Indiana (ECI) region and to team with local economic development organizations (LEDOs) and the Indiana Economic Development Corporation to bring capital investment and new jobs to the region and to assist existing ECI businesses grow and prosper. ","Blackford, Delaware, Fayette, Grant, Henry, Jay, Madison, Randolph, and Rush counties.",Fayette,"Blackford, Fayette, Grant, Henry, Jay, Madison, Randolph, Rush",6,www.Energize-ECI.org,Mindy Kenworthy,Not Readily Available,765.254.1420
Energize - ECI (East Central Indiana)-C (Grant),Regional Economic Development Organization,"Formed in 2005, Energize-ECI, Inc. is a pro-active private-public partnership with a mission to market the assets and resources of the 10-county East Central Indiana (ECI) region and to team with local economic development organizations (LEDOs) and the Indiana Economic Development Corporation to bring capital investment and new jobs to the region and to assist existing ECI businesses grow and prosper. ","Blackford, Delaware, Fayette, Grant, Henry, Jay, Madison, Randolph, and Rush counties.",Grant,"Blackford, Fayette, Grant, Henry, Jay, Madison, Randolph, Rush",3,www.Energize-ECI.org,Mindy Kenworthy,Not Readily Available,765.254.1420
Energize - ECI (East Central Indiana)-C (Henry),Regional Economic Development Organization,"Formed in 2005, Energize-ECI, Inc. is a pro-active private-public partnership with a mission to market the assets and resources of the 10-county East Central Indiana (ECI) region and to team with local economic development organizations (LEDOs) and the Indiana Economic Development Corporation to bring capital investment and new jobs to the region and to assist existing ECI businesses grow and prosper. ","Blackford, Delaware, Fayette, Grant, Henry, Jay, Madison, Randolph, and Rush counties.",Henry,"Blackford, Fayette, Grant, Henry, Jay, Madison, Randolph, Rush",6,www.Energize-ECI.org,Mindy Kenworthy,Not Readily Available,765.254.1420
Energize - ECI (East Central Indiana)-C (Jay),Regional Economic Development Organization,"Formed in 2005, Energize-ECI, Inc. is a pro-active private-public partnership with a mission to market the assets and resources of the 10-county East Central Indiana (ECI) region and to team with local economic development organizations (LEDOs) and the Indiana Economic Development Corporation to bring capital investment and new jobs to the region and to assist existing ECI businesses grow and prosper. ","Blackford, Delaware, Fayette, Grant, Henry, Jay, Madison, Randolph, and Rush counties.",Jay,"Blackford, Fayette, Grant, Henry, Jay, Madison, Randolph, Rush",6,www.Energize-ECI.org,Mindy Kenworthy,Not Readily Available,765.254.1420
Energize - ECI (East Central Indiana)-C (Madison),Regional Economic Development Organization,"Formed in 2005, Energize-ECI, Inc. is a pro-active private-public partnership with a mission to market the assets and resources of the 10-county East Central Indiana (ECI) region and to team with local economic development organizations (LEDOs) and the Indiana Economic Development Corporation to bring capital investment and new jobs to the region and to assist existing ECI businesses grow and prosper. ","Blackford, Delaware, Fayette, Grant, Henry, Jay, Madison, Randolph, and Rush counties.",Madison,"Blackford, Fayette, Grant, Henry, Jay, Madison, Randolph, Rush",5,www.Energize-ECI.org,Mindy Kenworthy,Not Readily Available,765.254.1420
Energize - ECI (East Central Indiana)-C (Randolph),Regional Economic Development Organization,"Formed in 2005, Energize-ECI, Inc. is a pro-active private-public partnership with a mission to market the assets and resources of the 10-county East Central Indiana (ECI) region and to team with local economic development organizations (LEDOs) and the Indiana Economic Development Corporation to bring capital investment and new jobs to the region and to assist existing ECI businesses grow and prosper. ","Blackford, Delaware, Fayette, Grant, Henry, Jay, Madison, Randolph, and Rush counties.",Randolph,"Blackford, Fayette, Grant, Henry, Jay, Madison, Randolph, Rush",6,www.Energize-ECI.org,Mindy Kenworthy,Not Readily Available,765.254.1420
Energize - ECI (East Central Indiana)-C (Rush),Regional Economic Development Organization,"Formed in 2005, Energize-ECI, Inc. is a pro-active private-public partnership with a mission to market the assets and resources of the 10-county East Central Indiana (ECI) region and to team with local economic development organizations (LEDOs) and the Indiana Economic Development Corporation to bring capital investment and new jobs to the region and to assist existing ECI businesses grow and prosper. ","Blackford, Delaware, Fayette, Grant, Henry, Jay, Madison, Randolph, and Rush counties.",Rush,"Blackford, Fayette, Grant, Henry, Jay, Madison, Randolph, Rush",6,www.Energize-ECI.org,Mindy Kenworthy,Not Readily Available,765.254.1420
West Central Indiana Economic Development District,Local Economic Development Organization,"WCIEDD's Economic Development Program centers around a professional staff that provides technical assistance in the areas of Business, Government, Economic Development, and Community Development. The goals of this program are to reduce unemployment and underemployment, halt out-migration, increase the tax base and help build sustainable communities in West Central Indiana.  These program goals are accomplished through partnerships with local government officials and agencies, county and regional economic development organizations, theIndiana Office of Community and Rural Affairs (IOCRA), U.S. Economic Development Administration (EDA), and other state and federal agencies.",Clay County,Clay,n/a,7,www.westcentralin.com,Ron Hinsenkamp,rhinsenkamp@westcentralin.com,812.238.1561
